trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.02, 'e': 0.1901389801015205}",25,3,-0.32052289846946413,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.02, 'e': 0.18637397603940997}",20,0,23.17782762351394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.02, 'e': 0.18268352405273466}",25,6,28.743313862810503,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.02, 'e': 0.17906614791149322}",25,7,8.476941943749907,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.02, 'e': 0.17552040061699686}",25,11,20.139145336037693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.02, 'e': 0.17204486382305054}",25,0,-36.745624896627696,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
90,False,"{'a': 0.02, 'e': 0.1686381472685955}",25,18,11.903843511653065,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.02, 'e': 0.16529888822158653}",25,13,6.8404789795145815,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.02, 'e': 0.16202575093388075}",20,0,0.5012498374742594,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.02, 'e': 0.15881742610692068}",25,9,12.185347107322787,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.02, 'e': 0.1556726303679973}",20,0,19.01131662970704,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.02, 'e': 0.15259010575688386}",20,0,-14.069812394210018,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.02, 'e': 0.14956861922263504}",20,9,8.207657315499434,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.02, 'e': 0.14660696213035015}",20,9,-20.367987484264006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.02, 'e': 0.14370394977770293}",25,12,-22.278816602262214,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.02, 'e': 0.140858420921045}",25,5,7.888586232911535,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.02, 'e': 0.13806923731089282}",20,10,10.840146198278825,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
